"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
18.0,26854.160495279208,2982.4867247804855,126.97878650332461,77.14643909982637,10.788252438290606,2.7183438108408033,736.8230587248634,27.61409299856298,1.0
18.0,7737.467790786321,16340.819190395701,172.7582532533109,233.00500908108847,9.78460458269192,3.7624586534708726,NaN,22.211516973597643,2.0
19.0,7747.904097037553,16277.78041038774,133.7891583377443,81.40933791260575,10.29191293312479,2.0298024070780447,463.3400612507349,25.719445162615422,1.0
19.0,27569.4843837539,3200.0000318137068,253.05364706784832,185.31853264430825,10.512517178230619,2.2372359963926707,461.9842686518507,35.90726427809169,1.0
19.0,7804.292560559801,2174.1707363542027,169.98598740563028,209.15254708214803,9.08383256171788,3.9886750823292294,NaN,24.178965022633484,2.0
20.0,2648.9407629693437,8207.300378653705,151.79549028619877,111.54769714933117,9.042531267726547,2.0731024921634646,482.6970328709164,24.744488505631573,1.0
20.0,6896.167957793825,2034.8399617297305,114.63825728531631,66.59311832365344,9.380739896692019,1.891954727426314,413.78225878161345,23.740052166021062,1.0
20.0,32016.80919850607,8296.717953521349,234.68008048947024,144.25142020971563,8.21293280844899,2.167097267324062,497.392379248247,38.08495008456577,1.0
20.0,5302.0074200736635,36728.277335843944,165.3933153398874,393.19711905596716,8.48118935172495,6.640856855316831,NaN,18.8181391755937,4.0
20.0,10379.758430705122,3246.347699546661,249.74136659802272,435.69688470746223,8.787033415993319,4.755905484734496,NaN,27.317577048281848,2.0
20.0,20952.54293039198,17624.980403395108,122.1353178241684,303.6903699941113,12.858012669897612,6.230102263008418,NaN,14.042819279306846,3.0
20.0,29340.072338507092,8444.593618926207,144.4343221057527,746.4048284246336,12.11999067870583,12.333630960924328,NaN,13.24440117763233,5.0
21.0,10978.165197678027,33217.394132924535,156.1325062904573,173.9909314534948,11.270947101989691,2.8203679144895153,609.4919694662567,21.113302957115472,1.0
21.0,20976.127236774028,1252.8224800028186,143.32359216051702,81.13099649502689,11.342352895173011,2.210003858955003,418.32800885002837,28.98383262541263,1.0
21.0,37197.53212848925,10481.723861958311,145.7600849669298,96.83589131341648,9.64708762160964,2.04416375944074,397.01237325759683,25.65755430488286,1.0
21.0,10410.957417017178,3285.3965567699784,167.10402194682413,832.0238762866525,10.126902394721988,19.837489783105926,NaN,22.468798451708974,8.0
21.0,26385.63699202324,4777.24495928046,117.00504488089264,128.93700206477678,10.38447726849164,3.585038914950438,NaN,19.26524458096481,2.0
21.0,32048.138698748673,8263.037582432939,139.32731919558046,456.51711739238954,9.678878627030793,11.630758317763734,NaN,18.161709985550633,6.0
22.0,6940.7709765957625,1998.6522561745494,124.25200465560755,74.77854563301491,9.740579063883384,1.9836546291989001,438.3548432715412,24.61918314416987,1.0
22.0,17523.463668746364,36862.26954107082,172.03115378814076,103.94520293460599,9.335248683596834,1.9495557350439485,460.76268431191926,29.87354527178073,1.0
22.0,21698.49496078347,17804.1402627262,181.5259745839401,110.79688253650218,13.085752459915051,2.3545267956424873,516.7654159303854,33.09785606478128,1.0
22.0,22530.376798153597,39356.62365639472,204.0760833221051,144.9940477845674,8.656539200986629,2.173999556600467,429.4166908027266,31.1767871273571,1.0
22.0,24899.817971392127,20352.594976924287,167.0325747954718,80.02246685297465,11.604660657154731,1.9538649550373388,410.89217914798826,34.344516235089934,1.0
22.0,26396.58607144795,4715.9060300009,168.0719750887946,90.61939375020096,9.732187181117672,2.057205284392571,411.86948096846584,32.414832861893245,1.0
22.0,27655.409612356954,36259.85355025735,165.19511563999032,96.8032229235128,10.957627169572504,2.4369860898243596,558.6321815190681,32.391458552760824,1.0
22.0,28522.947785793276,17182.018564219354,127.44779097273783,75.78579532096637,12.06895705713269,1.7878128267629625,288.94942249186613,24.51423646929142,1.0
22.0,37472.489651465454,22509.744482379414,136.40745047867244,82.99670316021171,9.419612155949325,1.9358970409363891,388.36575165426115,25.67114489008403,1.0
22.0,7320.447363800737,37055.204854066724,140.2262897939138,922.3342433025678,9.517834234117418,12.213145882544106,NaN,10.559767908313813,6.0
22.0,7790.987419971569,16319.43801336364,155.13804448652655,165.54621203507878,10.276128421691963,4.508737101029675,NaN,26.93495789385707,2.0
22.0,18696.660132219364,11138.457183479099,161.13328388242945,419.14961297121454,11.979925618197129,6.813661823319999,NaN,17.431806532654928,3.0
22.0,39438.67314438361,3884.3596968838274,153.85415397415514,211.66319615176116,8.663011280038624,4.1607852097309275,NaN,21.126143352433065,2.0
22.0,40464.74205372711,19619.083974044814,136.04686400849232,188.39845532158967,9.312092723609123,3.7735015317698073,NaN,18.5130338445726,2.0
23.0,17454.41132736336,36855.74414052896,132.48856125979012,76.40821879930921,10.105809963043665,2.0365366948478214,389.42131537712316,26.500375399278326,1.0
23.0,21708.304813885872,17856.929387731765,110.43409662883404,61.222017660287335,12.827627597512551,2.369736734882851,483.60776097934036,25.534866309671628,1.0
23.0,26811.63685731079,2913.1212600806575,157.4656887094218,92.5453954621906,10.431758197747085,2.548662577646066,614.7926578953574,31.885552288396894,1.0
23.0,27498.555610033938,36181.58426882242,179.24209966631742,179.79341399384714,11.084066176455226,2.1790344041163388,354.7761043552931,22.761757363392412,1.0
23.0,27543.267957443022,3203.4800900059254,115.58815775315483,55.990371453908026,13.82207624366927,2.7667463132608647,585.2269179746232,30.712726127133482,1.0
23.0,30718.85523205396,30912.757368610663,118.43960497920533,69.25469552928303,10.225603738135117,1.6402585064592585,295.3269685442282,23.329958266255378,1.0
23.0,34891.60870140604,28434.761460853693,149.17734674453843,105.96467905599336,10.313068471640403,2.544611954377398,585.3671085916059,26.842642826203218,1.0
23.0,2619.231558560401,8214.469746815113,149.6282010515951,374.268977050647,9.465769746118708,8.197547393676263,NaN,19.010949933504385,4.0
23.0,20955.815504898594,17645.335475653286,133.49800199682443,388.82471638130846,12.819344694689722,9.23490346862456,NaN,16.52429373546555,4.0
23.0,37144.81200398325,10483.918903353857,127.55794775341451,398.7007394000817,9.838430902210531,9.422201248934982,NaN,15.235776060803252,5.0
24.0,717.7008675753854,13092.46843502107,156.37883471885095,86.6893125689246,8.958041615502674,1.5818977095679785,303.27620112887803,28.005147187254273,1.0
24.0,2517.7084926820803,20871.153803384695,172.86074591388117,114.67215073304166,9.450092730308022,2.2235041311231143,569.6965744302886,29.484309441695306,1.0
24.0,17413.575260956037,36784.1389738438,157.19451784667535,96.5673673097716,10.079819027325144,1.7697722914417424,364.716843496214,27.114536712772487,1.0
