x [nm],y [nm],BG,I,Frame,Length,z [nm],Photons,Lateral Localization Accuracy [nm]
2332.1,4784.8,300.43491,7450.12695,3215,1,-27.1879,1685.69803,6.3597
2583,6507.4,291.41037,49041.91016,8855,3,-88.9896,11146.59557,2.49778
2764.8,4150.5,296.09924,8689.52637,6680,1,343.936,1865.96163,6.25654
2053.9,10501.6,370.9313,28600.80859,5964,2,-196.186,6465.28723,3.74912
1690.7,14753.8,349.46564,19547.56836,6362,2,251.623,4382.37871,3.62368
2187.2,14018.4,418.24936,8417.27246,5256,1,284.681,1917.19433,6.62728
2239.1,11623.2,524.17645,11957.82422,213,1,-304.762,2798.47498,7.16723
2253,11634.7,503.20508,52366.05469,215,3,-343.734,11566.72836,3.34898
2256.4,11639.3,630.42676,13405.06348,119,1,-310,2862.31747,7.50809
2247.4,11663.2,723.14026,59664.48828,8,5,-195,11776.94303,2.874
2250.1,11668.3,640.19843,27221.32422,19,2,-231,5373.76916,4.24013
2255,11665.5,635.45728,25351.59766,24,3,-210,5215.71895,4.48774
1712.5,14761.4,318.86673,11209.66504,6365,1,296.72,2444.46645,5.4374
1664.4,14822.3,329.02368,25840.81641,9283,2,270.655,5802.38332,2.82652
1663.7,14828.7,294.51981,8841.00488,9342,1,307.369,2001.92092,5.09164
1664.8,14826.3,287.16748,9211.8125,9279,1,260.471,2111.98228,4.79167
1666,14825.8,304.30106,26956.41797,9261,3,243.643,6116.63204,2.88531
1668.6,14826.9,323.11035,7050.2417,9277,1,300.379,1584.79599,5.75854
1670.4,14823.4,338.9761,140127.375,9302,9,278.529,31935.34258,1.17013
1670.6,14824.2,306.85687,63063.88281,9295,5,284.207,14492.96225,1.87333
1671.2,14825.4,308.99808,36977.14453,9265,3,297.827,8538.78727,2.49631
1672.8,14819.5,318.03427,6867.14355,9286,1,284.793,1572.25561,5.76919
1670.6,14826.9,320.48428,64841.46875,9336,5,247.093,14672.55557,1.77462
1673.1,14817.2,314.67621,10237.09473,9281,1,318.563,2352.73552,4.66529
1673.4,14819.4,328.21881,97699.70313,9328,7,267.725,22134.76182,1.43626
1673.4,14825.3,332.6011,42559.91797,9312,3,272.989,9649.39566,2.11485
1671.3,14827.2,311.46674,22427.66211,9269,2,245.011,5086.45649,3.18174
